plant_cycle,last_watered,name,origin_country,recording_taken,soil_moisture,sunlight,temperature,first_name,last_name,email,origin_continent
Perennial,2023-05-09 14:03:04,Epipremnum Aureum,Brazil,2023-05-09 15:45:08,94.07149973475315,['Part shade'],19.638830884316018,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,SA
,2023-05-09 13:54:32,Venus flytrap,United States,2023-05-09 15:45:09,93.46721608366141,,12.056133620930222,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,NA
,2023-05-09 14:10:54,Corpse flower,Nigeria,2023-05-09 15:45:10,94.85313555595997,,9.19544126350055,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,AF
,2023-05-09 14:50:16,Rafflesia arnoldii,Brazil,2023-05-09 15:45:11,96.8343799346782,,10.04887051252425,Eliza,Andrews,eliza.andrews@lnhm.co.uk,SA
,2023-05-09 13:16:25,Black bat flower,El Salvador,2023-05-09 15:45:12,91.12580201491053,,11.358552277230508,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,NA
Herbaceous Perennial,2023-05-09 14:56:18,Pitcher plant,India,2023-05-09 15:45:13,97.22284891769158,['Full sun'],11.232429347598721,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,AS
Perennial,2023-05-09 13:35:35,Wollemi pine,Canada,2023-05-09 15:45:14,92.7899041278962,['Part shade'],10.997897108121176,Eliza,Andrews,eliza.andrews@lnhm.co.uk,NA
,,,,,,,,,,,
Herbaceous Perennial,2023-05-09 13:23:01,Bird of paradise,Ivory Coast,2023-05-09 15:45:15,91.51601340656063,"['Full sun', 'part shade']",11.585513049833907,Eliza,Andrews,eliza.andrews@lnhm.co.uk,AF
Perennial,2023-05-09 14:12:43,Cactus,Germany,2023-05-09 15:45:16,94.6338627816425,"['Full sun', 'part shade']",10.629779074433118,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,EU
,2023-05-09 13:04:57,"Dragon tree,",Croatia,2023-05-09 15:45:18,90.72224632401156,,13.976335931452398,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,EU
Herbaceous Perennial,2023-05-09 13:37:24,Asclepias Curassavica,United States,2023-05-09 15:45:18,92.81367612640449,['Full sun'],9.505608329014207,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,NA
,2023-05-09 13:13:51,Brugmansia X Candida,United States,2023-05-09 15:45:20,91.07166506188605,,12.871765770631514,Eliza,Andrews,eliza.andrews@lnhm.co.uk,NA
,2023-05-09 13:36:47,Canna ‘Striata’,Germany,2023-05-09 15:45:21,92.92937235747021,,9.592068862983906,Eliza,Andrews,eliza.andrews@lnhm.co.uk,EU
Perennial,2023-05-09 14:17:54,Colocasia Esculenta,United States,2023-05-09 15:45:22,95.0629967300094,"['Filtered shade', ' Part sun/part shade']",13.204702682785538,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,NA
,2023-05-09 13:45:31,Cuphea ‘David Verity’,Tunisia,2023-05-09 15:45:23,92.94893382745099,,10.017840514036214,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,AF
Perennial,2023-05-09 13:50:40,Euphorbia Cotinifolia,United States,2023-05-09 15:45:24,90.16559107428571,['Full sun'],13.324380012932508,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,NA
